AES,Genotype ,Height (in.),Ear Angle (cm),Notes:
2,Mo001,64,,
2,Mo001,70,,
2,Mo001,51,,
2,Mo001,63,,
2,Mo001,64,,
2,Mo001,69,,
2,Mo001,66,,
2,Mo001,76,,
3,Mo005,80,,
3,Mo005,72,,
3,Mo005,64,,
3,Mo005,74,,
3,Mo005,76,,
3,Mo005,79,,
3,Mo005,73,,
3,Mo005,78,,
3,Mo005,80,,
3,Mo005,77,,
3,Mo005,79,,
6,Mo007,58,,
6,Mo007,66,,
6,Mo007,58,,
6,Mo007,67,,
6,Mo007,60,,
6,Mo007,65,,
6,Mo007,66,,
6,Mo007,67,,
6,Mo007,60,,
6,Mo007,65,,
6,Mo007,64,,
6,Mo007,60,,
6,Mo007,59,,
6,Mo007,62,,
7,Mo008 ,N/A,,
10,Mo010 ,69,,
10,Mo010 ,82,,
10,Mo010 ,70,,
10,Mo010 ,72,,
10,Mo010 ,66,,
10,Mo010 ,74,,
10,Mo010 ,71,,
10,Mo010 ,68,,
10,Mo010 ,74,,
10,Mo010 ,71,,
10,Mo010 ,68,,
10,Mo010 ,74,,
10,Mo010 ,74,,
10,Mo010 ,77,,
11,Mo012,66,,
11,Mo012,66,,
11,Mo012,66,,
11,Mo012,66,,
11,Mo012,70,,
11,Mo012,60,,
11,Mo012,69,,
11,Mo012,63,,
11,Mo012,57,,
11,Mo012,56,,
11,Mo012,63,,
14,Mo014,65,,
14,Mo014,53,,
14,Mo014,59,,
14,Mo014,61,,
14,Mo014,52,,
14,Mo014,52,,
14,Mo014,63,,
14,Mo014,65,,
15,Mo015,72,,
15,Mo015,70,,
15,Mo015,69,,
15,Mo015,64,,
15,Mo015,73,,
15,Mo015,63,,
15,Mo015,61,,
15,Mo015,64,,
15,Mo015,68,,
18,Mo016,62,,
18,Mo016,64,,
18,Mo016,62,,
18,Mo016,65,,
18,Mo016,62,,
18,Mo016,62,,
18,Mo016,63,,
18,Mo016,62,,
19,Mo017,73,,
19,Mo017,72,,
19,Mo017,72,,
19,Mo017,65,,
19,Mo017,73,,
19,Mo017,67,,
19,Mo017,68,,
19,Mo017,68,,
19,Mo017,74,,
19,Mo017,75,,
22,Mo021,71,,
22,Mo021,64,,
22,Mo021,68,,
22,Mo021,65,,
22,Mo021,68,,
22,Mo021,68,,
22,Mo021,64,,
22,Mo021,69,,
22,Mo021,66,,
23,Mo022,69,,
23,Mo022,67,,
23,Mo022,68,,
23,Mo022,67,,
23,Mo022,68,,
23,Mo022,58,,
23,Mo022,66,,
23,Mo022,58,,
23,Mo022,66,,
23,Mo022,65,,
23,Mo022,66,,
23,Mo023,52,,
23,Mo023,47,,
23,Mo023,54,,
23,Mo023,46,,
23,Mo023,57,,
23,Mo023,57,,
23,Mo023,43,,
23,Mo023,56,,
23,Mo023,53,,
23,Mo023,55,,
23,Mo023,55,,
23,Mo023,54,,
27,Mo024,85,,
27,Mo024,85,,
27,Mo024,85,,
27,Mo024,86,,
27,Mo024,88,,
27,Mo024,85,,
27,Mo024,86,,
27,Mo024,83,,
27,Mo024,86,,
27,Mo024,85,,
30,Mo025,59,,
30,Mo025,69,,
30,Mo025,69,,
30,Mo025,69,,
30,Mo025,60,,
30,Mo025,69,,
30,Mo025,69,,
30,Mo025,65,,
30,Mo025,62,,
30,Mo025,62,,
30,Mo025,66,,
31,Mo027,59,,
31,Mo027,57,,
31,Mo027,57,,
31,Mo027,59,,
31,Mo027,62,,
31,Mo027,56,,
31,Mo027,59,,
31,Mo027,54,,
34,Mo028,68,,
34,Mo028,67,,
34,Mo028,66,,
34,Mo028,67,,
34,Mo028,71,,
34,Mo028,57,,
34,Mo028,51,,
34,Mo028,66,,
35,Mo029,62,,
35,Mo029,58,,
35,Mo029,64,,
35,Mo029,60,,
35,Mo029,59,,
35,Mo029,58,,
35,Mo029,62,,
35,Mo029,63,,
35,Mo029,62,,
35,Mo029,63,,
35,Mo029,62,,
35,Mo029,62,,
38,Mo030,66,,
38,Mo030,60,,
38,Mo030,66,,
38,Mo030,67,,
38,Mo030,65,,
38,Mo030,63,,
38,Mo030,65,,
38,Mo030,67,,
38,Mo030,71,,
38,Mo030,61,,
39,Mo031,75,,
39,Mo031,83,,
39,Mo031,82,,
39,Mo031,79,,
39,Mo031,70,,
39,Mo031,81,,
39,Mo031,74,,
39,Mo031,85,,
39,Mo031,80,,
39,Mo031,82,,
42,Mo032,49,,
42,Mo032,72,,
42,Mo032,60,,
42,Mo033,55,,
42,Mo033,52,,
42,Mo033,61,,
42,Mo033,72,,
42,Mo033,69,,
42,Mo033,64,,
42,Mo033,63,,
42,Mo033,70,,
42,Mo033,63,,
46,Mo034,70,,
46,Mo034,63,,
46,Mo034,59,,
47,Mo035,58,,
47,Mo035,57,,
47,Mo035,54,,
47,Mo035,56,,
47,Mo035,59,,
47,Mo035,55,,
47,Mo035,57,,
47,Mo035,58,,
47,Mo035,58,,
47,Mo035,58,,
47,Mo035,57,,
47,Mo035,62,,
47,Mo035,59,,
50,Mo039 ,85,,
50,Mo039 ,80,,
50,Mo039 ,81,,
50,Mo039 ,78,,
50,Mo039 ,75,,
50,Mo039 ,80,,
50,Mo039 ,72,,
50,Mo039 ,78,,
50,Mo039 ,74,,
50,Mo039 ,73,,
50,Mo039 ,71,,
50,Mo039 ,72,,
50,Mo039 ,75,,
51,Mo040,86,,
51,Mo040,72,,
51,Mo040,73,,
51,Mo040,89,,
51,Mo040,85,,
51,Mo040,83,,
51,Mo040,85,,
51,Mo040,71,,
51,Mo040,78,,
51,Mo040,85,,
51,Mo040,83,,
51,Mo040,71,,
51,Mo040,86,,
54,Mo043,63,,
54,Mo043,67,,
54,Mo043,64,,
54,Mo043,68,,
55,Mo044,70,,
55,Mo044,63,,
55,Mo044,64,,
55,Mo044,69,,
55,Mo044,65,,
55,Mo044,56,,
55,Mo044,57,,
55,Mo044,73,,
58,Mo045,59,,
58,Mo045,65,,
58,Mo045,63,,
58,Mo045,64,,
58,Mo045,53,,
58,Mo045,56,,
58,Mo045,62,,
58,Mo045,63,,
58,Mo045,63,,
59,Mo046,76,,
59,Mo046,72,,
59,Mo046,65,,
59,Mo046,70,,
59,Mo046,68,,
59,Mo046,79,,
59,Mo046,65,,
59,Mo046,67,,
59,Mo046,65,,
59,Mo046,64,,
59,Mo046,56,,
62,Mo048,57,,Mitochondrial defect
63,Mo051,72,,
63,Mo051,67,,
63,Mo051,65,,
63,Mo051,66,,
63,Mo051,60,,
63,Mo051,69,,
63,Mo051,65,,
63,Mo051,62,,
63,Mo051,63,,
63,Mo051,60,,
63,Mo051,63,,
63,Mo051,66,,
63,Mo051,68,,
66,Mo052,66,,
66,Mo052,64,,
66,Mo052,63,,
66,Mo052,48,,
66,Mo052,62,,
66,Mo052,64,,
66,Mo052,62,,
66,Mo052,65,,
66,Mo052,65,,
66,Mo052,59,,
67,Mo054,69,,
67,Mo054,61,,
67,Mo054,65,,
67,Mo054,72,,
67,Mo054,56,,
67,Mo054,69,,
67,Mo054,66,,
67,Mo054,70,,
67,Mo054,66,,
67,Mo054,68,,
67,Mo054,76,,
67,Mo054,71,,
70,Mo055,65,,
70,Mo055,58,,
70,Mo055,72,,
70,Mo055,70,,
70,Mo055,51,,
70,Mo055,48,,
70,Mo055,68,,
70,Mo055,68,,
71,Mo057,56,,
71,Mo057,66,,
71,Mo057,51,,
71,Mo057,48,,
71,Mo057,55,,
71,Mo057,58,,
71,Mo057,65,,
71,Mo057,65,,
74,Mo058,64,,
74,Mo058,62,,
74,Mo058,64,,
74,Mo058,65,,
74,Mo058,60,,
74,Mo058,64,,
74,Mo058,69,,
74,Mo058,70,,
74,Mo058,66,,
74,Mo058,65,,
74,Mo058,69,,
75,Mo060,68,,
75,Mo060,62,,
75,Mo060,61,,
75,Mo060,61,,
75,Mo060,59,,
75,Mo060,58,,
75,Mo060,62,,
75,Mo060,63,,
75,Mo060,65,,
75,Mo060,67,,
75,Mo060,61,,
75,Mo060,62,,
78,Mo061,68,,
78,Mo061,66,,
78,Mo061,70,,
78,Mo061,71,,
78,Mo061,70,,
78,Mo061,68,,
78,Mo061,65,,
78,Mo061,65,,
79,Mo063,58,,
79,Mo063,63,,
79,Mo063,77,,
79,Mo063,75,,
79,Mo063,65,,
79,Mo063,63,,
79,Mo063,64,,
79,Mo063,67,,
79,Mo063,66,,
79,Mo063,67,,
79,Mo063,62,,
79,Mo063,72,,
82,B73,72,,
82,B73,70,,
82,B73,59,,
82,B73,53,,
82,B73,46,,
82,B73,57,,
83,Mo067,N/A,,No plants
86,Mo074,71,,
86,Mo074,62,,
86,Mo074,66,,
86,Mo074,68,,
86,Mo074,68,,
86,Mo074,65,,
86,Mo074,66,,
86,Mo074,74,,
86,Mo074,73,,
86,Mo074,63,,
86,Mo074,68,,
86,Mo074,75,,
86,Mo074,75,,
87,Mo076,75,,
87,Mo076,69,,
87,Mo076,69,,
87,Mo076,77,,
87,Mo076,78,,
87,Mo076,77,,
87,Mo076,56,,
87,Mo076,79,,
87,Mo076,70,,
87,Mo076,79,,
90,Mo077,61,,
90,Mo077,67,,
90,Mo077,67,,
90,Mo077,43,,
90,Mo077,67,,
90,Mo077,65,,
90,Mo077,67,,
90,Mo077,73,,
90,Mo077,64,,
90,Mo077,74,,
91,Mo079,74,,
91,Mo079,64,,
91,Mo079,75,,
91,Mo079,74,,
91,Mo079,75,,
91,Mo079,73,,
91,Mo079,74,,
91,Mo079,52,,
94,Mo262,62,,
94,Mo262,65,,
94,Mo262,61,,
94,Mo262,67,,
94,Mo262,66,,
94,Mo262,67,,
94,Mo262,70,,
94,Mo262,63,,
94,Mo262,66,,
94,Mo262,61,,
94,Mo262,67,,
94,Mo262,67,,
94,Mo262,72,,
95,Mo264,49,,4 plants are male sterile
95,Mo264,47,,4 plants are male sterile
95,Mo264,45,,4 plants are male sterile
95,Mo264,49,,4 plants are male sterile
95,Mo264,48,,4 plants are male sterile
95,Mo264,40,,4 plants are male sterile
95,Mo264,45,,4 plants are male sterile
95,Mo264,50,,4 plants are male sterile
98,Mo265,64,,
98,Mo265,69,,
98,Mo265,64,,
98,Mo265,65,,
98,Mo265,59,,
98,Mo265,65,,
98,Mo265,65,,
98,Mo265,62,,
98,Mo265,65,,
98,Mo265,68,,
99,Mo266,76,,
99,Mo266,65,,
99,Mo266,68,,
99,Mo266,69,,
99,Mo266,61,,
99,Mo266,66,,
99,Mo266,63,,
99,Mo266,70,,
99,Mo266,67,,
99,Mo266,66,,
99,Mo266,68,,
99,Mo266,60,,
102,Mo267,48,,
102,Mo267,50,,
102,Mo267,51,,
102,Mo267,56,,
102,Mo267,50,,
102,Mo267,52,,
