"","sampleID.exp","test1.exp","allP.exp"
"1","1013",11.77,23.75
"2","1014",15.36,28.14
"3","1015",16.34,25.31
"4","1016",17.26,25.46
"5","1027",14.36,23.95
"6","1037",16.57,27.84
"7","1038",16.01,24.16
"8","1039",14.76,24.53
"9","1040",17.2,24.47
"10","1049",13.39,25
"11","1050",13.42,29.37
"12","1051",14.86,25.35
"13","1052",12.96,24.45
"14","1061",19.23,24.81
"15","1062",13.86,15.02
"16","1063",13.18,24.13
"17","1064",14.43,24.43
"18","1073",11.86,28.85
"19","1074",12.72,23.37
"20","1075",11.58,25.34
"21","1076",15.15,16.4
"22","1085",13.64,24.51
"23","1086",12.87,26
"24","1087",13.19,23.08
"25","1088",13.46,23.05
"26","1199",11.71,25.09
"27","1200",14.65,23.66
"28","1221",14.08,12.23
"29","1222",17.06,16.03
"30","1223",18.37,27.75
"31","1224",13.1,16.27
"32","1245",14.89,24.03
"33","1246",13.24,22.09
"34","1247",13.81,23.25
"35","1248",14.03,22.76
"36","1258",14.21,24.57
"37","1259",14.27,24.38
"38","1260",13.98,24.41
"39","1275",14.71,22.63
"40","1281",14.79,22.8
"41","1282",14.51,22.88
"42","1283",12.68,24.06
"43","1284",16.59,23.35
"44","1293",13.1,24.26
"45","1294",14.88,23.17
"46","1295",16.53,22.24
"47","1296",10.72,23.19
"48","1305",14.12,22.92
"49","1306",13.85,13.23
"50","1307",14.64,24
"51","1308",13.85,23.14
"52","1317",14.62,14.18
"53","1320",21.62,30.67
"54","1329",16.62,10.1
"55","1332",12.66,16.79
"56","1341",17.89,31.73
"57","1342",14.88,28.29
"58","1344",16.36,28.93
"59","1353",21.93,22.43
"60","1354",15.77,28.77
"61","1355",11.98,30.21
"62","1356",17.22,13.4
"63","1378",14.31,23.5
"64","1379",17.52,30.63
"65","1380",13.52,21.59
"66","1389",17.08,25.89
"67","1390",15.04,21.56
"68","1391",20.45,27.16
"69","1424",12.68,29.41
"70","1426",21.4,10.16
"71","1437",20.17,30.34
"72","1440",16.31,17.18
"73","1449",12.49,18.81
"74","1450",14.87,24.34
"75","1451",13.38,28.93
"76","1452",15.65,21.7
"77","1461",12.59,27.62
"78","1462",12.23,16.85
"79","1467",14.97,22.35
"80","1487",14.58,20.88
"81","1488",16.17,22.26
"82","1497",14.84,14.57
"83","1498",20.86,25.54
"84","1499",18.9,21.5
"85","1500",16.31,20.74
"86","1521",13.39,18.69
"87","1523",15.52,33.15
"88","1533",21.94,22.73
"89","1534",20.05,30.65
"90","1536",13.21,25.36
"91","1543",12.84,19.15
"92","1545",23.1,28.27
"93","1546",11.51,23.48
"94","1557",20.3,29.63
"95","1558",17.39,30.53
"96","1809",16.61,26.28
"97","1810",13.9,25.08
"98","1811",17.3,27.72
"99","1812",15.15,27.56
"100","1821",17.21,28.18
"101","1823",14.45,27.67
"102","1824",15.94,27.8
"103","1845",15.06,26.75
"104","1846",15.2,27.46
"105","1847",16.32,27.46
"106","1848",14.4,25.25
"107","499",17.34,27.39
"108","500",16.65,28.03
"109","509",18,28.07
"110","510",15.89,28.43
"111","511",16.19,28.39
"112","512",15.68,27.5
"113","521",14.28,28.01
"114","523",16.13,27.32
"115","524",16.08,27.23
"116","533",17.96,26.88
"117","534",17.04,27.51
"118","535",12.74,26.78
"119","536",15.29,28.48
"120","545",15.61,24.3
"121","546",18.85,33.96
"122","547",15.04,25.7
"123","548",14.65,29.66
"124","557",13.79,28.15
"125","558",16.38,27.98
"126","559",15.01,27.52
"127","560",14.56,27.12
"128","569",16.88,26.92
"129","570",19.77,34.67
"130","571",17.07,27.45
"131","572",17.36,27.7
"132","581",17.67,27.53
"133","582",16.05,28.5
"134","583",17.14,30.85
"135","584",14.61,27.24
"136","593",13.6,25.7
"137","594",20.35,35.81
"138","595",16.69,26.16
"139","596",15.63,26.26
"140","605",16.43,27.96
"141","606",15.72,27.65
"142","607",15.37,27.96
"143","608",14.88,27.85
"144","617",15.75,29.69
"145","618",18.6,36.03
"146","619",16.56,26.63
"147","620",16.01,26.71
"148","629",16.66,24.59
"149","630",16.84,23.9
"150","631",16.76,27.79
"151","632",15.84,27.46
"152","641",20.5,33.44
"153","642",16.36,28.81
"154","643",15.84,27.37
"155","644",15.62,26.32
"156","653",16.63,24.71
"157","654",15.25,27
"158","655",16.2,27.3
"159","656",15,25.46
"160","665",14.02,29.81
"161","666",19.4,33.99
"162","667",18.49,28.36
"163","668",19.9,29.82
"164","677",16.93,27.61
"165","678",16.73,26.59
"166","679",16.35,26.07
"167","680",16.25,28.2
"168","689",16.01,27.46
"169","690",21.92,36.01
"170","691",17.31,27.43
"171","692",15.5,25.75
"172","701",13.58,23.53
"173","702",16.69,25.4
"174","703",15.28,26.27
"175","704",15.21,26.32
"176","713",15.49,28.91
"177","714",20.64,32.13
"178","715",17.36,28.09
"179","977",12.01,28.42
"180","978",16,24.34
"181","979",15.13,23.49
"182","980",13.47,24.95
