"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"1","10_A_65",19540,23230,-0.456975991705421,0.214966789112269,"june",1,0,1837.80405330895,21377.804053309,1852.19594669105
"2","10_C_67",19090,22590,-0.657348974951645,0.0928276801607043,"june",1,0,1732.82478346261,20822.8247834626,1767.17521653739
"3","10_D_68",19550,22850,-0.452523258744393,0.142446693172278,"june",1,0,1820.84067373489,21370.8406737349,1479.15932626511
"4","162_A_941",17860,23240,-1.20503512915799,0.216875212689637,"june",1,0,1514.29404454618,19374.2940445462,3865.70595545382
"5","162_B_942",17800,24030,-1.23175152692415,0.367640675301725,"june",1,0,1568.44927003175,19368.4492700317,4661.55072996825
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","162_D_944",17800,21540,-1.23175152692415,-0.107556795462957,"june",1,0,1352.41116689518,19152.4111668952,2387.58883310482
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","166_C_967",19100,22490,-0.652896241990617,0.073743444387022,"june",1,0,1727.94141506164,20827.9414150616,1662.05858493836
"10","170_A_989",18900,20680,-0.741950901211162,-0.271681223116622,"june",1,0,1545.91197525084,20445.9119752508,234.088024749155
"11","170_B_990",18070,24490,-1.11152773697642,0.455428159860662,"june",1,0,1668.21513530685,19738.2151353069,4751.78486469315
"12","170_C_991",18270,20420,-1.02247307775588,-0.321300236128194,"june",1,0,1374.95529174974,19644.9552917497,775.044708250258
"13","170_D_992",18530,21390,-0.906702020769168,-0.136183149123479,"june",1,0,1518.40330814575,20048.4033081458,1341.59669185425
"14","188_A_1197",20000,21930,-0.252150275498169,-0.0331282759455968,"june",1,0,1835.56126974668,21835.5612697467,94.4387302533141
"15","188_B_1198",22710,28770,0.954540356940204,1.27223345097425,"june",1,0,2460.59525201414,25170.5952520141,3599.40474798586
"16","19_A_125",21440,23580,0.389043270889749,0.281761614320156,"june",1,0,2019.36577452433,23459.3657745243,120.634225475671
"17","19_B_126",19550,23990,-0.452523258744393,0.360006980992252,"june",1,0,1871.18512290595,21421.1851229059,2568.81487709405
"18","19_C_127",18900,23760,-0.741950901211162,0.316113238712784,"june",1,0,1774.0182642125,20674.0182642125,3085.9817357875
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","201_B_1270",19160,22550,-0.626179844224454,0.0851939858512317,"june",1,0,1742.74093760234,20902.7409376023,1647.25906239766
"22","201_D_1272",20420,24520,-0.0651354911350256,0.461153430592766,"june",1,0,1961.58953296539,22381.5895329654,2138.41046703461
"23","206_A_1329",18950,22650,-0.719687236406026,0.104278221624913,"june",1,0,1710.80096092913,20660.8009609291,1989.19903907087
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","209_C_1367",18650,23540,-0.853269225236843,0.274127920010683,"june",1,0,1715.68387857828,20365.6838785783,3174.31612142173
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","212_A_1401",20780,23120,0.0951628954619536,0.193974129761219,"june",1,0,1952.61447088135,22732.6144708814,387.385529118648
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","212_C_1403",19530,22100,-0.461428724666447,-0.000685075130337096,"june",1,0,1777.09840620787,21307.0984062079,792.901593792132
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","214_C_1427",19830,23630,-0.327846735835632,0.291303732206997,"june",1,0,1886.43927077591,21716.4392707759,1913.56072922409
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","221_B_1510",19920,23480,-0.287772139186386,0.262677378546474,"june",1,0,1889.93147687453,21809.9314768745,1670.06852312547
"38","221_C_1511",24820,32920,1.89406701171694,2.06422923558205,"june",1,0,3302.62083666323,28122.6208366632,4797.37916333677
"39","231_A_1629",20030,23450,-0.238792076615087,0.256952107814369,"june",1,0,1899.35176828252,21929.3517682825,1520.64823171748
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","233_B_1654",20140,28410,-0.189812014043788,1.203530202189,"june",1,0,2043.40410727802,22183.404107278,6226.59589272198
"43","233_C_1655",20810,29820,0.108521094345034,1.47261792659791,"june",1,0,2185.24327673173,22995.2432767317,6824.75672326827
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","236_D_1692",23500,26600,1.30630626086135,0.858105534685352,"june",1,0,2456.83088385508,25956.8308838551,643.169116144923
