Plot,Sample #,Year,Genotype,Replicate,Derivation,Barcode,Date,RNAlater,Time,Temp. in C,Additional Notes:,info about qPCR at ARQ
1,1,2016,PH207,A,2015_285,1_A_1,6/11/16,No,1:00-3:00 PM,30-34 C,,
1,2,2016,PH207,B,2015_285,1_B_2,6/11/16,No,1:00-3:00 PM,30-34 C,,
1,3,2016,PH207,C,2015_285,1_C_3,6/11/16,No,1:00-3:00 PM,30-34 C,,
1,4,2016,PH207,D,2015_285,1_D_4,6/11/16,No,1:00-3:00 PM,30-34 C,,
1,5,2016,PH207,A,2015_285,1_A_5,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
1,6,2016,PH207,B,2015_285,1_B_6,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
1,7,2016,PH207,C,2015_285,1_C_7,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
1,8,2016,PH207,D,2015_285,1_D_8,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
1,9,2016,PH207,A,2015_285,1_A_9,6/21/16,No,1:00-1:30 PM,30-34 C,,
1,10,2016,PH207,B,2015_285,1_B_10,6/21/16,No,1:00-1:30 PM,30-34 C,,
1,11,2016,PH207,C,2015_285,1_C_11,6/21/16,No,1:00-1:30 PM,30-34 C,,
1,12,2016,PH207,D,2015_285,1_D_12,6/21/16,No,1:00-1:30 PM,30-34 C,,
2,13,2016,Mo001,A,2015_2self,2_A_13,6/11/16,No,1:00-3:00 PM,30-34 C,,
2,14,2016,Mo001,B,2015_2self,2_B_14,6/11/16,No,1:00-3:00 PM,30-34 C,,
2,15,2016,Mo001,C,2015_2self,2_C_15,6/11/16,No,1:00-3:00 PM,30-34 C,,
2,16,2016,Mo001,D,2015_2self,2_D_16,6/11/16,No,1:00-2:30 PM,30-34 C,,
2,17,2016,Mo001,A,2015_2self,2_A_17,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
2,18,2016,Mo001,B,2015_2self,2_B_18,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
2,19,2016,Mo001,C,2015_2self,2_C_19,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
2,20,2016,Mo001,D,2015_2self,2_D_20,6/16/16,Yes,1:00-2:30 PM,30-34 C,sent to ISU July 2018 plate2,
2,21,2016,Mo001,A,2015_2self,2_A_21,6/21/16,No,1:00-1:30 PM,30-34 C,,
2,22,2016,Mo001,B,2015_2self,2_B_22,6/21/16,No,1:00-1:30 PM,30-34 C,,
2,23,2016,Mo001,C,2015_2self,2_C_23,6/21/16,No,1:00-1:30 PM,30-34 C,,
2,24,2016,Mo001,D,2015_2self,2_D_24,6/21/16,No,1:00-1:30 PM,30-34 C,,
3,25,2016,Mo005,A,2015_3self,3_A_25,6/11/16,No,1:00-3:00 PM,30-34 C,,
3,26,2016,Mo005,B,2015_3self,3_B_26,6/11/16,No,1:00-3:00 PM,30-34 C,,
3,27,2016,Mo005,C,2015_3self,3_C_27,6/11/16,No,1:00-3:00 PM,30-34 C,,
3,28,2016,Mo005,D,2015_3self,3_D_28,6/11/16,No,1:00-3:00 PM,30-34 C,,
3,29,2016,Mo005,A,2015_3self,3_A_29,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
3,30,2016,Mo005,B,2015_3self,3_B_30,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
3,31,2016,Mo005,C,2015_3self,3_C_31,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
3,32,2016,Mo005,D,2015_3self,3_D_32,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
3,33,2016,Mo005,A,2015_3self,3_A_33,6/21/16,No,1:00-1:30 PM,29-31 C,,
3,34,2016,Mo005,B,2015_3self,3_B_34,6/21/16,No,1:00-1:30 PM,29-31 C,,
3,35,2016,Mo005,C,2015_3self,3_C_35,6/21/16,No,1:00-1:30 PM,29-31 C,,
3,36,2016,Mo005,D,2015_3self,3_D_36,6/21/16,No,1:00-1:30 PM,29-31 C,,
6,37,2016,Mo007,A,2015_6self,6_A_37,6/11/16,No,1:00-3:00 PM,30-34 C,,
6,38,2016,Mo007,B,2015_6self,6_B_38,6/11/16,No,1:00-3:00 PM,30-34 C,,
6,39,2016,Mo007,C,2015_6self,6_C_39,6/11/16,No,1:00-3:00 PM,30-34 C,,
6,40,2016,Mo007,D,2015_6self,6_D_40,6/11/16,No,1:00-3:00 PM,30-34 C,,
6,41,2016,Mo007,A,2015_6self,6_A_41,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
6,42,2016,Mo007,B,2015_6self,6_B_42,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
6,43,2016,Mo007,C,2015_6self,6_C_43,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
6,44,2016,Mo007,D,2015_6self,6_D_44,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
6,45,2016,Mo007,A,2015_6self,6_A_45,6/21/16,No,1:00-1:30PM,29-31 C,,
6,46,2016,Mo007,B,2015_6self,6_B_46,6/21/16,No,1:00-1:30PM,29-31 C,,
6,47,2016,Mo007,C,2015_6self,6_C_47,6/21/16,No,1:00-1:30PM,29-31 C,,
6,48,2016,Mo007,D,2015_6self,6_D_48,6/21/16,No,1:00-1:30PM,29-31 C,,
7,49,2016,Mo008,A,2015_7self,7_A_49,6/11/16,No,1:00-3:00 PM,30-34 C,,
7,50,2016,Mo008,B,2015_7self,7_B_50,6/11/16,No,1:00-3:00 PM,30-34 C,,
7,51,2016,Mo008,C,2015_7self,7_C_51,6/11/16,No,1:00-3:00 PM,30-34 C,,
