"","sampNum","Plot","Sample..","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","Additional.Notes.","info.about.qPCR.at.ARQ"
"1",1,"1","1","2016","PH207","A","2015_285","1_A_1","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"2",2,"1","2","2016","PH207","B","2015_285","1_B_2","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"3",3,"1","3","2016","PH207","C","2015_285","1_C_3","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"4",4,"1","4","2016","PH207","D","2015_285","1_D_4","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"5",5,"1","5","2016","PH207","A","2015_285","1_A_5","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"6",6,"1","6","2016","PH207","B","2015_285","1_B_6","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"7",7,"1","7","2016","PH207","C","2015_285","1_C_7","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"8",8,"1","8","2016","PH207","D","2015_285","1_D_8","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"9",9,"1","9","2016","PH207","A","2015_285","1_A_9","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"10",10,"1","10","2016","PH207","B","2015_285","1_B_10","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"11",11,"1","11","2016","PH207","C","2015_285","1_C_11","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"12",12,"1","12","2016","PH207","D","2015_285","1_D_12","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"13",13,"2","13","2016","Mo001","A","2015_2self","2_A_13","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"14",14,"2","14","2016","Mo001","B","2015_2self","2_B_14","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"15",15,"2","15","2016","Mo001","C","2015_2self","2_C_15","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"16",16,"2","16","2016","Mo001","D","2015_2self","2_D_16","6/11/16","No","1:00-2:30 PM","30-34 C","",""
"17",17,"2","17","2016","Mo001","A","2015_2self","2_A_17","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"18",18,"2","18","2016","Mo001","B","2015_2self","2_B_18","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"19",19,"2","19","2016","Mo001","C","2015_2self","2_C_19","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"20",20,"2","20","2016","Mo001","D","2015_2self","2_D_20","6/16/16","Yes","1:00-2:30 PM","30-34 C","sent to ISU July 2018 plate2",""
"21",21,"2","21","2016","Mo001","A","2015_2self","2_A_21","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"22",22,"2","22","2016","Mo001","B","2015_2self","2_B_22","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"23",23,"2","23","2016","Mo001","C","2015_2self","2_C_23","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"24",24,"2","24","2016","Mo001","D","2015_2self","2_D_24","6/21/16","No","1:00-1:30 PM","30-34 C","",""
"25",25,"3","25","2016","Mo005","A","2015_3self","3_A_25","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"26",26,"3","26","2016","Mo005","B","2015_3self","3_B_26","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"27",27,"3","27","2016","Mo005","C","2015_3self","3_C_27","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"28",28,"3","28","2016","Mo005","D","2015_3self","3_D_28","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"29",29,"3","29","2016","Mo005","A","2015_3self","3_A_29","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"30",30,"3","30","2016","Mo005","B","2015_3self","3_B_30","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"31",31,"3","31","2016","Mo005","C","2015_3self","3_C_31","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"32",32,"3","32","2016","Mo005","D","2015_3self","3_D_32","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"33",33,"3","33","2016","Mo005","A","2015_3self","3_A_33","6/21/16","No","1:00-1:30 PM","29-31 C","",""
"34",34,"3","34","2016","Mo005","B","2015_3self","3_B_34","6/21/16","No","1:00-1:30 PM","29-31 C","",""
"35",35,"3","35","2016","Mo005","C","2015_3self","3_C_35","6/21/16","No","1:00-1:30 PM","29-31 C","",""
"36",36,"3","36","2016","Mo005","D","2015_3self","3_D_36","6/21/16","No","1:00-1:30 PM","29-31 C","",""
"37",37,"6","37","2016","Mo007","A","2015_6self","6_A_37","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"38",38,"6","38","2016","Mo007","B","2015_6self","6_B_38","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"39",39,"6","39","2016","Mo007","C","2015_6self","6_C_39","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"40",40,"6","40","2016","Mo007","D","2015_6self","6_D_40","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"41",41,"6","41","2016","Mo007","A","2015_6self","6_A_41","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"42",42,"6","42","2016","Mo007","B","2015_6self","6_B_42","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"43",43,"6","43","2016","Mo007","C","2015_6self","6_C_43","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"44",44,"6","44","2016","Mo007","D","2015_6self","6_D_44","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"45",45,"6","45","2016","Mo007","A","2015_6self","6_A_45","6/21/16","No","1:00-1:30PM","29-31 C","",""
"46",46,"6","46","2016","Mo007","B","2015_6self","6_B_46","6/21/16","No","1:00-1:30PM","29-31 C","",""
"47",47,"6","47","2016","Mo007","C","2015_6self","6_C_47","6/21/16","No","1:00-1:30PM","29-31 C","",""
"48",48,"6","48","2016","Mo007","D","2015_6self","6_D_48","6/21/16","No","1:00-1:30PM","29-31 C","",""
"49",49,"7","49","2016","Mo008","A","2015_7self","7_A_49","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"50",50,"7","50","2016","Mo008","B","2015_7self","7_B_50","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"51",51,"7","51","2016","Mo008","C","2015_7self","7_C_51","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"52",52,"7","52","2016","Mo008","D","2015_7self","7_D_52","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"53",53,"7","53","2016","Mo008","A","2015_7self","7_A_53","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"54",54,"7","54","2016","Mo008","B","2015_7self","7_B_54","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"55",55,"7","55","2016","Mo008","C","2015_7self","7_C_55","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"56",56,"7","56","2016","Mo008","D","2015_7self","7_D_56","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"57",57,"7","57","2016","Mo008","A","2015_7self","7_A_57","6/21/16","No","1:00-1:30 PM","29-31 C","",""
"58",58,"7","58","2016","Mo008","B","2015_7self","7_B_58","6/21/16","No","1:00-1:30PM","29-31 C","",""
"59",59,"7","59","2016","Mo008","C","2015_7self","7_C_59","6/21/16","No","1:00-1:30PM","29-31 C","",""
"60",60,"7","60","2016","Mo008","D","2015_7self","7_D_60","6/21/16","No","1:00-1:30PM","29-31 C","",""
"61",61,"10","61","2016","Mo010","A","2015_10self","10_A_61","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"62",62,"10","62","2016","Mo010","B","2015_10self","10_B_62","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"63",63,"10","63","2016","Mo010","C","2015_10self","10_C_63","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"64",64,"10","64","2016","Mo010","D","2015_10self","10_D_64","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"65",65,"10","65","2016","Mo010","A","2015_10self","10_A_65","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016, biosprint RNA test plate with 260/280","qPCR test1 and allproducts June 18, 2018"
"66",66,"10","66","2016","Mo010","B","2015_10self","10_B_66","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"67",67,"10","67","2016","Mo010","C","2015_10self","10_C_67","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"68",68,"10","68","2016","Mo010","D","2015_10self","10_D_68","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"69",69,"10","69","2016","Mo010","A","2015_10self","10_A_69","6/21/16","No","1:00-1:30PM","29-31 C","",""
"70",70,"10","70","2016","Mo010","B","2015_10self","10_B_70","6/21/16","No","1:00-1:30PM","29-31 C","",""
"71",71,"10","71","2016","Mo010","C","2015_10self","10_C_71","6/21/16","No","1:00-1:30PM","29-31 C","",""
"72",72,"10","72","2016","Mo010","D","2015_10self","10_D_72","6/21/16","No","1:00-1:30PM","29-31 C","",""
"73",73,"11","73","2016","Mo012","A","2015_6self","11_A_73","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"74",74,"11","74","2016","Mo012","B","2015_6self","11_B_74","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"75",75,"11","75","2016","Mo012","C","2015_6self","11_C_75","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"76",76,"11","76","2016","Mo012","D","2015_6self","11_D_76","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"77",77,"11","77","2016","Mo012","A","2015_6self","11_A_77","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"78",78,"11","78","2016","Mo012","B","2015_6self","11_B_78","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"79",79,"11","79","2016","Mo012","C","2015_6self","11_C_79","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"80",80,"11","80","2016","Mo012","D","2015_6self","11_D_80","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"81",81,"11","81","2016","Mo012","A","2015_6self","11_A_81","6/21/16","No","1:00-1:30PM","29-31 C","",""
"82",82,"11","82","2016","Mo012","B","2015_6self","11_B_82","6/21/16","No","1:00-1:30PM","29-31 C","",""
"83",83,"11","83","2016","Mo012","C","2015_6self","11_C_83","6/21/16","No","1:00-1:30PM","29-31 C","",""
"84",84,"11","84","2016","Mo012","D","2015_6self","11_D_84","6/21/16","No","1:00-1:30PM","29-31 C","",""
"85",85,"14","85","2016","Mo014","A","2015_14self","14_A_85","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"86",86,"14","86","2016","Mo014","B","2015_14self","14_B_86","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"87",87,"14","87","2016","Mo014","C","2015_14self","14_C_87","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"88",88,"14","88","2016","Mo014","D","2015_14self","14_D_88","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"89",89,"14","89","2016","Mo014","A","2015_14self","14_A_89","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"90",90,"14","90","2016","Mo014","B","2015_14self","14_B_90","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"91",91,"14","91","2016","Mo014","C","2015_14self","14_C_91","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"92",92,"14","92","2016","Mo014","D","2015_14self","14_D_92","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"93",93,"14","93","2016","Mo014","A","2015_14self","14_A_93","6/21/16","No","1:00-1:30PM","29-31 C","",""
"94",94,"14","94","2016","Mo014","B","2015_14self","14_B_94","6/21/16","No","1:00-1:30PM","29-31 C","",""
"95",95,"14","95","2016","Mo014","C","2015_14self","14_C_95","6/21/16","No","1:00-1:30PM","29-31 C","",""
"96",96,"14","96","2016","Mo014","D","2015_14self","14_D_96","6/21/16","No","1:00-1:30PM","29-31 C","",""
"97",97,"15","97","2016","Mo015","A","2015_15self","15_A_97","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"98",98,"15","98","2016","Mo015","B","2015_15self","15_B_98","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"99",99,"15","99","2016","Mo015","C","2015_15self","15_C_99","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"100",100,"15","100","2016","Mo015","D","2015_15self","15_D_100","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"101",101,"15","101","2016","Mo015","A","2015_15self","15_A_101","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"102",102,"15","102","2016","Mo015","B","2015_15self","15_B_102","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"103",103,"15","103","2016","Mo015","C","2015_15self","15_C_103","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"104",104,"15","104","2016","Mo015","D","2015_15self","15_D_104","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"105",105,"15","105","2016","Mo015","A","2015_15self","15_A_105","6/21/16","No","1:00-1:30PM","29-31 C","",""
"106",106,"15","106","2016","Mo015","B","2015_15self","15_B_106","6/21/16","No","1:00-1:30PM","29-31 C","",""
"107",107,"15","107","2016","Mo015","C","2015_15self","15_C_107","6/21/16","No","1:00-1:30PM","29-31 C","",""
"108",108,"15","108","2016","Mo015","D","2015_15self","15_D_108","6/21/16","No","1:00-1:30PM","29-31 C","",""
"109",109,"18","109","2016","Mo016","A","2015_18self","18_A_109","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"110",110,"18","110","2016","Mo016","B","2015_18self","18_B_110","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"111",111,"18","111","2016","Mo016","C","2015_18self","18_C_111","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"112",112,"18","112","2016","Mo016","D","2015_18self","18_D_112","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"113",113,"18","113","2016","Mo016","A","2015_18self","18_A_113","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"114",114,"18","114","2016","Mo016","B","2015_18self","18_B_114","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"115",115,"18","115","2016","Mo016","C","2015_18self","18_C_115","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"116",116,"18","116","2016","Mo016","D","2015_18self","18_D_116","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"117",117,"18","117","2016","Mo016","A","2015_18self","18_A_117","6/21/16","No","1:00-1:30PM","29-31 C","",""
"118",118,"18","118","2016","Mo016","B","2015_18self","18_B_118","6/21/16","No","1:00-1:30PM","29-31 C","",""
"119",119,"18","119","2016","Mo016","C","2015_18self","18_C_119","6/21/16","No","1:00-1:30PM","29-31 C","",""
"120",120,"18","120","2016","Mo016","D","2015_18self","18_D_120","6/21/16","No","1:00-1:30PM","29-31 C","",""
"121",121,"19","121","2016","Mo017","A","2015_19self","19_A_121","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"122",122,"19","122","2016","Mo017","B","2015_19self","19_B_122","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"123",123,"19","123","2016","Mo017","C","2015_19self","19_C_123","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"124",124,"19","124","2016","Mo017","D","2015_19self","19_D_124","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"125",125,"19","125","2016","Mo017","A","2015_19self","19_A_125","6/16/16","Yes","1:00-2:30 PM","32-34 C","",""
"126",126,"19","126","2016","Mo017","B","2015_19self","19_B_126","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"127",127,"19","127","2016","Mo017","C","2015_19self","19_C_127","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"128",128,"19","128","2016","Mo017","D","2015_19self","19_D_128","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"129",129,"19","129","2016","Mo017","A","2015_19self","19_A_129","6/21/16","No","1:00-1:30PM","29-31 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"130",130,"19","130","2016","Mo017","B","2015_19self","19_B_130","6/21/16","No","1:00-1:30PM","29-31 C","",""
"131",131,"19","131","2016","Mo017","C","2015_19self","19_C_131","6/21/16","No","1:00-1:30PM","29-31 C","",""
"132",132,"19","132","2016","Mo017","D","2015_19self","19_D_132","6/21/16","No","1:00-1:30PM","29-31 C","",""
"133",133,"22","133","2016","Mo021","A","2015_22self","22_A_133","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"134",134,"22","134","2016","Mo021","B","2015_22self","22_B_134","6/11/16","No","1:00-3:00 PM","30-34 C","",""
