chr.type,chr,loc.name,pos,mQTL.asymp.p,vQTL.asymp.p,mvQTL.asymp.p
A,1,gpm27,0.01,0.7454217050412472,0.28813278525090674,0.412392549820274
A,1,tub1,0.81,0.5637958843613954,0.06639924245544923,0.1469273690425189
A,1,gpm113b,0.82,0.12705043653999562,0.9487667041044963,0.3063498644041023
A,1,gpm705a,0.84,0.09752915784929037,0.9418190757931103,0.25416097277936006
A,1,gpm325a,4.97,0.09495389092360061,0.8801514859610935,0.23938866387808266
A,1,dmt103b,6.89,0.1892283089409531,0.4278718472738219,0.19096841900222722
A,1,gpm699d,8.67,0.20062773918864907,0.5587220256465,0.2623440818403684
A,1,gpm319,14.82,0.1501288767368097,0.35311036404716867,0.15433705175204107
A,1,IDP1447,19.92,0.8775414753991173,0.10071801876045595,0.33668363581697724
A,1,bnl5.62a,21.12,0.8651603782601918,0.2279146349195449,0.5005200968333747
A,1,IDP1464,21.17,0.9750898938970944,0.2506620301098792,0.6118910370620597
A,1,fus6,22.62,0.20425002176299883,0.37202152582830283,0.21584596369182849
A,1,AY109692,23.62,0.1498197282382153,0.2869189835091434,0.15906892233451328
A,1,mmp102,24.42,0.202517414386933,0.6851714988625279,0.3106899146254618
A,1,AY110314,29.42,0.14907458934165707,0.5025073144180716,0.20259172056447486
A,1,umc94a,38.62,0.020519729381653497,0.9524640357408893,0.053211489614918936
A,1,gpm331,38.71,0.01210581476371293,0.9702184706562746,0.038706749174054235
A,1,lim179,47.02,0.1498240806519286,0.8983661242492189,0.4697329364383858
A,1,IDP755,52.47,0.2175391873884624,0.18601744736131612,0.1450863880683686
A,1,AY107629,54.63,0.06966508373681511,0.9562475366224197,0.34445991720965247
A,1,mmp49,56.12,0.09078789054800092,0.2638643826385636,0.09548721892963477
A,1,cdo1081a,57.82,0.2076630089116071,0.130418701517375,0.10365867788820689
A,1,asg31,65.22,0.6850310738985091,0.3332523950123741,0.596266770433498
A,1,npi415,66.02,0.5200947766022798,0.6357973356963001,0.7025887783380642
A,1,ufg31,71.62,0.9996448942914722,0.6249622093912586,0.952062900539561
A,1,gpm330,71.91,0.4820830342147951,0.985048595119492,0.8718990420602044
A,1,ufg33,72.02,0.9999534543894245,0.8424294571714063,0.9930260187729958
A,1,ufg32,72.82,0.9995870043408911,0.880281970216772,0.9957052479662496
